id,chart_template_id/id,name,description,amount_type,amount,type_tax_use,price_include,refund_account_id/id,account_id/id,include_base_amount,sequence,children_tax_ids/id,tag_ids/id
account_tax_D26b,account_chart_si_gd,Nabava 76a. čl. 22% - bruto,N_76_B_22,group,,purchase,True,,,False,1,"account_tax_D26b1,account_tax_D26b2",N_76_B_22
account_tax_D26n1,account_chart_si_gd,Nabava 76a. čl. 22% - neto – vstopni,N_76_N_22_IN,percent,22,purchase,False,account_account_160002,account_account_160002,False,2,,N_76_N_22_IN
account_tax_D26n2,account_chart_si_gd,Nabava 76a. čl. 22% - neto – izstopni,N_76_N_22_OUT,percent,-22,purchase,False,account_account_260000,account_account_260000,False,2,,N_76_N_22_OUT
account_tax_D26n,account_chart_si_gd,Nabava 76a. čl. 22% - neto,N_76_N_22,group,,purchase,False,,,False,1,"account_tax_D26n1,account_tax_D26n2",N_76_N_22
account_tax_D27b,account_chart_si_gd,Neodbitni DDV 22% - bruto,NX_22_B,percent,,purchase,False,,,False,1,,NX_22_B
account_tax_D27n,account_chart_si_gd,Neodbitni DDV 22% - neto,NX_22_N,percent,,purchase,False,,,False,1,,NX_22_N
account_tax_D28b,account_chart_si_gd,"Neodbitni DDV 9,5% - bruto",NX_9_5_B,percent,,purchase,False,,,False,1,,NX_9_5_B
account_tax_D28n,account_chart_si_gd,"Neodbitni DDV 9,5% - neto",NX_9_5_N,percent,,purchase,False,,,False,1,,NX_9_5_N
account_tax_D29,account_chart_si_gd,Oproščen neobdavčen promet,N_0,percent,,purchase,False,,,False,1,,N_0
account_tax_D30,account_chart_si_gd,Neobdavčen promet – izstopni,NS_0,percent,,sale,False,,,False,1,,NS_0
account_tax_D31,account_chart_si_gd,Neobdavčen promet – vstopni,NN_0,percent,,purchase,False,,,False,1,,NN_0
