code,id,user_type_id/id,name,reconcile,chart_template_id/id
064000,account_account_064000,account.data_account_type_current_assets,"DOLGOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE PRIDRUŽENIH DRUŽB IN SKUPAJ OBVLADOVANIH DRUŽB, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK POSLOVNEGA IZIDA",False,account_chart_si_gd
065000,account_account_065000,account.data_account_type_current_assets,"DOLGOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE PRIDRUŽENIH DRUŽB IN SKUPAJ OBVLADOVANIH DRUŽB, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK KAPITALA",False,account_chart_si_gd
066000,account_account_066000,account.data_account_type_current_assets,"DRUGE DOLGOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI",False,account_chart_si_gd
067000,account_account_067000,account.data_account_type_current_assets,"DRUGE DOLGOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK POSLOVNEGA IZIDA",False,account_chart_si_gd
068000,account_account_068000,account.data_account_type_current_assets,"DRUGE DOLGOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK KAPITALA",False,account_chart_si_gd
069000,account_account_069000,account.data_account_type_current_assets,OSLABITEV VREDNOSTI DOLGOROČNIH FINANČNIH NALOŽB,False,account_chart_si_gd
070000,account_account_070000,account.data_account_type_current_assets,"DOLGOROČNA POSOJILA, DANA NA PODLAGI POSOJILNIH POGODB DRUŽBAM V SKUPINI, VKLJUČNO Z DOLGOROČNIMI TERJATVAMI IZ FINANČNEGA NAJEMA",False,account_chart_si_gd
071000,account_account_071000,account.data_account_type_current_assets,"DOLGOROČNA POSOJILA, DANA NA PODLAGI POSOJILNIH POGODB PRIDRUŽENIM DRUŽBAM IN SKUPAJ OBVLADOVANIM DRUŽBAM, VKLJUČNO Z DOLGOROČNIMI TERJATVAMI IZ FINANČNEGA NAJEMA",False,account_chart_si_gd
072000,account_account_072000,account.data_account_type_current_assets,"DOLGOROČNA POSOJILA, DANA DRUGIM, VKLJUČNO Z DOLGOROČNIMI TERJATVAMI IZ FINANČNEGA NAJEMA",False,account_chart_si_gd
073000,account_account_073000,account.data_account_type_current_assets,"DOLGOROČNA POSOJILA, DANA Z ODKUPOM OBVEZNIC OD DRUŽB V SKUPINI",False,account_chart_si_gd
074000,account_account_074000,account.data_account_type_current_assets,"DOLGOROČNA POSOJILA, DANA Z ODKUPOM OBVEZNIC OD PRIDRUŽENIH DRUŽB IN SKUPAJ OBVLADOVANIH DRUŽB",False,account_chart_si_gd
075000,account_account_075000,account.data_account_type_current_assets,"DOLGOROČNA POSOJILA, DANA Z ODKUPOM OBVEZNIC OD DRUGIH",False,account_chart_si_gd
076000,account_account_076000,account.data_account_type_current_assets,DOLGOROČNE TERJATVE ZA NEVPLAČANI VPOKLICANI KAPITAL,False,account_chart_si_gd
077000,account_account_077000,account.data_account_type_current_assets,DRUGA DOLGOROČNO VLOŽENA SREDSTVA,False,account_chart_si_gd
078000,account_account_078000,account.data_account_type_current_assets,DANI DOLGOROČNI DEPOZITI,False,account_chart_si_gd
079000,account_account_079000,account.data_account_type_current_assets,OSLABITEV VREDNOSTI DANIH DOLGOROČNIH POSOJIL,False,account_chart_si_gd
080000,account_account_080000,account.data_account_type_current_assets,"DOLGOROČNI BLAGOVNI KREDITI, DANI V DRŽAVI",False,account_chart_si_gd
081000,account_account_081000,account.data_account_type_current_assets,"DOLGOROČNI BLAGOVNI KREDITI, DANI V TUJINI",False,account_chart_si_gd
082000,account_account_082000,account.data_account_type_current_assets,DANI DOLGOROČNI POTROŠNIŠKI KREDITI,False,account_chart_si_gd
083000,account_account_083000,account.data_account_type_current_assets,DANI DOLGOROČNI PREDUJMI,False,account_chart_si_gd
084000,account_account_084000,account.data_account_type_current_assets,DANE DOLGOROČNE VARŠČINE,False,account_chart_si_gd
086000,account_account_086000,account.data_account_type_current_assets,DRUGE DOLGOROČNE POSLOVNE TERJATVE,False,account_chart_si_gd
089000,account_account_089000,account.data_account_type_current_assets,OSLABITEV VREDNOSTI DOLGOROČNIH POSLOVNIH TERJATEV,False,account_chart_si_gd
090000,account_account_090000,account.data_account_type_current_assets,TERJATVE ZA ODLOŽENI DAVEK IZ ODBITNIH ZAČASNIH RAZLIK,False,account_chart_si_gd
091000,account_account_091000,account.data_account_type_current_assets,"TERJATVE ZA ODLOŽENI DAVEK IZ NEIZRABLJENIH DAVČNIH IZGUB, PRENESENIH V NASLEDNJA DAVČNA OBDOBJA",False,account_chart_si_gd
092000,account_account_092000,account.data_account_type_current_assets,"TERJATVE ZA ODLOŽENI DAVEK IZ DAVČNIH DOBROPISOV, PRENESENIH V NASLEDNJA DAVČNA OBDOBJA",False,account_chart_si_gd
100000,account_account_100000,account.data_account_type_current_assets,"DENARNA SREDSTVA V BLAGAJNI, RAZEN DEVIZNIH SREDSTEV",False,account_chart_si_gd
101000,account_account_101000,account.data_account_type_current_assets,DEVIZNA SREDSTVA V BLAGAJNI,False,account_chart_si_gd
102000,account_account_102000,account.data_account_type_current_assets,IZDANI ČEKI (ODBITNA POSTAVKA),False,account_chart_si_gd
103000,account_account_103000,account.data_account_type_current_assets,PREJETI ČEKI,False,account_chart_si_gd
104000,account_account_104000,account.data_account_type_current_assets,NETVEGANI TAKOJ UDENARLJIVI DOLŽNIŠKI VREDNOSTNI PAPIRJI,False,account_chart_si_gd
110000,account_account_110000,account.data_account_type_current_assets,"DENARNA SREDSTVA NA RAČUNIH, RAZEN DEVIZNIH",False,account_chart_si_gd
